ID,Title,Authors,Venue,Venue Type,Year,Source (query/snowballing),Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Exclusion Criterion 7,Snowballing applied?,Notes
68,"Android App With Integration Of Quickblox XAMPP Chatting, Google GCM And Client-Server Architecture","Ghule, Khandu; Tikone, Niteen; Sonar, Saurabh; Ghate, Babloo; Sonone, Shubhangi",,journalArticle,,Q,o,o,,,,,,,,,,,,Not focused on Android or software architecture; Presents their own app
69,Modular Software Architecture for Connected Devices The Development of a Model for Connecting a Device to the Android Platform,"Alhassani, Lobna; Gustafsson Sköldin, Maria",Chalmers University of Technology,thesis,2012,Q,o,,,,,,,,x,,,,,Not peer-reviewed
70,Finding architectural flaws in android apps is easy,"Vanciu, Radu; Abi-Antoun, Marwan",ACM,conferencePaper,2013,Q,o,o,,x,x,,x,,,,,,,Tool demo
71,"WAP, HTTP and HTML5 Web Socket Architecture Analysis in Contemporary Mobile App Development","Eke, BO",,journalArticle,,Q,o,o,,x,,,,,,,,,,Not focused on Android
72,Android Basic Architecture including Operating System using their Application,"Zamani, Abu Sarwar; Akhtar, Md Mobin; Siddique, Ahmad Talha; Tanweer, Safdar",,journalArticle,2012,Q,o,o,,,,,x,,,,,,,"Editorial, not detailed enough"
73,Architecture Modeling and Analysis of Security in Android Systems,"Malek, Sam; Cámara, Javier; Garlan, David",Springer,conferencePaper,2016,Q,o,o,,x,x,,,,,,,,YES,
74,Structuring Android applications: architectural design patterns for rapid development and bug-free and products,"Madhvani, Anthony",,journalArticle,2016,Q,o,,,,,,,,,,x,,,Not available
75,Proposed An Architecture: Android Based Hardware Abstraction Layer (HAL),"Siddiqui, Ahmad Talha",,journalArticle,,Q,o,,,,,,,,,,x,,,Not available
76,Architecture for high performance stereoscopic game rendering on Android,"Flack, Julien; Sanderson, Hugh; Shetty, Sampath",International Society for Optics and Photonics,conferencePaper,2014,Q,o,o,,x,x,,,,,,,,,
77,Mobile Forensics: An analysis of Android architecture and evidence integrity,"Mera, Alejandro",,journalArticle,2015,Q,o,o,,x,x,,,,,,,,,
78,A cloud-based architecture to crowdsource mobile app privacy leaks,"Damopoulos, Dimitrios; Kambourakis, Georgios",,journalArticle,,Q,o,o,,x,,,,,,,,,,Not focused on just Android
79,Architectural pattern for native android applications,"Fernandes, Sergio Martins; Mendes, Paulo Jose",,journalArticle,2017,Q,o,,,,,,,,,,x,,,Not available
80,A Lightweight OS-Level Virtualization Architecture Based on Android,"LIU, Bo-wen; GU, Nai-jie; GU, De-he",,journalArticle,2017,Q,o,o,,,,,,,,,,,,Not focused on Android or software architecture; Presents their own app
81,An Architecture for Android-based Mobile Service Applications,"Kim, Soo-Dong; La, Hyun-Jung",,journalArticle,2006,Q,o,,,,,,,,,,x,,,Not available
82,A Study on Design Techniques of Gaming Service Architecture with Android-base,"Ryu, Chang-Su; Hur, Chang-Wu",,journalArticle,2012,Q,o,,,,,,,x,,,,,,Not in english
83,Developing a Message Interface Architecture for Android Operating Systems,"Ahamed, Mithun",,journalArticle,2015,Q,o,o,,x,,,,,,,,,,Not focused on software architecture
84,Virtualizing Graphics Architecture of Android Mobile Platforms in KVM/ARM Environment,"Park, Sejin; Park, Byungsu; Lee, Unsung; Park, Chanik",,journalArticle,2017,Q,o,o,,,x,,,,,,,,,"Not focused on software architecture, more on virtualization"
85,ARobust CLIENT ARCHITECTURE ON ANDROID TO CATER END-2-END REAL-TIME CONTENT MANAGEMENT AND PERSONALIZED IPTV SERVICES TO MOBILE INTERNET DEVICES,"Anand, Vijay",,journalArticle,,Q,o,o,,,,,,,,,,,,Not focused on Android or software architecture; Presents their own app
86,Reduction of Quantum Cost by Making Temporary Changes to the FunctionVirtualizing Graphics Architecture of Android Mobile Platforms in KVM/ARM EnvironmentWell-Balanced Successive Simple-9 for Inverted Lists CompressionOntology-Based Driving Decision Making: A Feasibility Study at Uncontrolled IntersectionsZero-Shot Embedding for Unseen Entities in Knowledge GraphMulti-View 3D CG Image Quality Assessment for Contrast Enhancement Based on S-CIELAB Color SpaceA Single Image Super-Resolution Algorithm Using Non-Local-Mean Self-Similarity and Noise-Robust Saliency MapEnhancing Underwater Color Images via Optical Imaging Model and Non-Local Means DenoisingA New Sentiment Case-Based RecommenderEffect of Additive Noise for Multi-Layered Perceptron with AutoEncodersA Spatiotemporal Statistical Model for Eyeballs of Human EmbryosSimultaneous Processing of Multi-Skyline Queries with MapReduceFinding the Minimum Number of Open-Edge Guards in an Orthogonal Polygon is NP-HardA Toolset for Validation and Verification of Automotive Control Software Using Formal PatternsIntegrated Collaborative Filtering for Implicit Feedback Incorporating CovisitationMaximizing the Profit of Datacenter Networks with HPFFBimodal Vein Recognition Based on Task-Specific Transfer LearningSmall Group Detection in Crowds using Interaction InformationScene Character Recognition Using Coupled Spatial LearningDualized Topic-Preserving Pseudo Relevance Feedback for Question Answering,"HAN, Kyoung-Soo",,journalArticle,,Q,o,o,,,,,,,,x,,,,Duplication of ID:84
87,Architecture of Android OS,"Pourtalebi, Shahab",,journalArticle,,Q,o,,,,,,x,,,,,,,Poster
88,Reactive Programming and Clean Architecture in Android Development,"Bui, Duy",,journalArticle,2017,Q,o,,,,,,,,x,,,,,Not peer-reviewed
89,Evaluation of a Software Architecture Supporting Android Applications for Users with Motor Disabilities,"Machado-Neto, Olibário José; Maria da Graça, C Pimentel",,journalArticle,2017,Q,o,o,,,,,,,,,,,,Literature review
90,ANovel SCALABLE ARCHITECTURE ON ANDROID TO CATER END-2-END IMS SERVICES TO AUDIO VIDEO TERMINALS,"Anand, Vijay",,journalArticle,,Q,o,o,,x,x,,,,,,,,,
91,Exploring a Disconnected Synchronization Architecture Between Android Client and Cloud,"Nadagouda, Pratik; PHADNIS, SAURABH",,journalArticle,2015,Q,o,o,,x,x,,,,,,,,,
92,Design and Implementation of Android-based MobileSecond Platform Architecture & its Smart Care Service,"Kook, Joongjin; Kim, Jinman; Lee, Eui Chul",,journalArticle,2017,Q,o,o,,x,,,,,,,,,,Not focused on Android
93,Design of Game Application using Android Architecture,"Narlawar, Shital V; Chopade, Sonal G; Vikhore, Vaishnavi C; Kahate, Sandip A",,journalArticle,2013,Q,o,o,,x,x,,,,,,,,,
94,Design and Implementation of an Android Mobile-Learning System Based on Mixed Architecture,"Zhi-yuan, ZHANG",,journalArticle,2013,Q,o,,,,,,,,,,x,,,Not available
95,Android Benchmarking for Architectural Research,"Jenkins, Ira Ray",,journalArticle,2012,Q,o,,,,,,,,x,,,,,Not peer-reviewed
96,Research on Android system architecture and application development,"Jing, Zhao",,journalArticle,2017,Q,o,,,,,,,,,,x,,,Not available
97,Architecture and Prototypical Realization of NFC-based Indoor Positioning with Android and Google Maps,"Fabini, Joachim; Russ, Reinhard; Wallentin, Lukas",,journalArticle,,Q,o,,,,x,,,,,,,,,Not focused on software architecture
98,An Aggregate Functional Software Architecture on Android for End-2-End Real-Time Interactive Content Management to Cater IPTV Services on Digital Handheld Devices,"Patel, Keyurkumar J; Anand, S Vijay",IEEE,conferencePaper,2010,Q,o,o,,x,x,,,,,,,,,
99,Identifying Architectural Technical Debt in Android Applications through Automated Compliance Checking,"Verdecchia, Roberto",,journalArticle,2018,Q,o,o,,x,x,,,,,,,,,
